100
27 33
14 24 26
7 23 7
1 13 16
22 8 17
21 17 26
10 5 26
25 5 26
20 25 26
25 19 26
21 11 7
27 12 26
9 4 26
20 13 26
16 11 26
9 5 26
27 16 26
4 25 26
21 14 26
17 20 26
20 6 7
13 24 26
2 4 26
14 3 26
11 3 26
10 24 26
26 6 26
7 3 26
6 3 26
22 9 16
18 20 26
23 14 26
23 14 26
17 5 26
7 17
7 1 3
7 5 3
7 5 3
6 1 4
7 2 3
6 7 6
7 1 4
5 7 3
3 7 3
2 5 5
5 1 3
2 6 6
1 2 3
6 2 6
5 6 6
7 2 3
6 5 6
41 74
8 32 41
38 13 41
35 27 13
8 17 13
28 7 41
3 16 41
4 3 41
35 30 30
27 12 41
10 14 40
37 10 41
25 28 41
35 24 41
7 8 13
23 25 13
8 21 13
4 22 41
18 24 41
36 8 41
11 32 41
10 11 41
35 18 41
30 16 13
22 39 41
13 23 13
11 36 41
12 34 41
1 33 39
18 1 40
16 27 13
11 27 41
13 33 41
26 36 41
11 37 34
26 25 41
18 26 40
15 9 41
21 26 41
5 2 39
10 18 40
35 8 13
29 2 29
39 33 39
18 19 41
40 2 40
39 21 41
8 20 41
33 21 41
37 12 41
9 4 9
1 29 39
4 26 40
15 23 41
39 28 39
36 39 41
13 17 13
19 15 41
15 32 41
9 5 9
21 41 41
26 1 40
29 26 40
17 1 41
7 32 41
37 7 41
37 41 41
16 21 13
34 12 41
29 24 41
9 23 41
23 37 41
12 27 41
19 26 41
7 2 41
60 120
6 41 55
57 12 11
33 17 32
49 35 32
31 59 32
12 19 32
21 30 32
6 24 32
16 46 48
3 16 32
60 43 32
58 2 32
4 56 11
20 9 9
24 27 48
33 47 32
37 21 48
18 45 32
1 12 32
17 11 32
55 50 32
43 38 32
59 5 32
60 31 32
39 19 32
9 31 32
46 21 48
41 14 32
33 57 9
37 30 32
16 45 53
39 55 11
57 20 11
38 43 32
56 39 11
58 60 32
20 23 32
7 32 32
11 53 32
50 60 32
27 4 32
47 25 32
46 14 48
36 20 32
6 38 55
11 8 9
43 57 32
51 17 32
44 3 9
43 60 32
34 53 53
33 31 32
19 18 32
39 23 32
12 35 11
25 14 32
39 13 11
5 32 32
29 40 40
60 32 32
21 47 53
19 18 32
58 20 32
27 12 32
60 38 9
36 19 48
19 46 48
15 36 48
41 16 32
47 40 53
12 18 11
47 46 48
26 25 32
30 26 32
35 5 32
17 38 32
57 35 35
8 50 32
55 58 32
28 33 32
41 16 32
53 27 48
33 39 9
25 2 9
25 11 9
4 31 32
34 52 48
22 60 9
58 5 32
27 9 32
46 54 32
9 57 9
40 51 48
24 8 32
2 19 32
41 11 11
40 54 32
43 1 53
45 44 32
48 50 48
7 48 32
20 35 11
38 13 55
20 7 11
20 13 11
9 50 32
19 34 48
58 46 32
29 47 53
44 59 9
51 25 32
45 56 32
38 39 11
24 32 32
44 28 32
51 60 32
15 30 32
57 13 55
44 26 32
47 4 32
51 92
51 7 42
32 19 42
47 27 27
32 30 32
51 32 42
28 24 49
23 34 42
50 41 5
44 27 27
43 34 42
5 46 35
9 2 42
27 44 27
50 37 42
37 6 42
8 32 48
46 14 42
20 45 42
8 4 42
49 41 42
5 32 42
17 22 42
32 37 42
1 25 42
17 45 42
33 26 32
28 23 42
21 10 42
13 39 39
49 1 42
27 50 27
40 11 42
20 24 42
45 5 42
40 30 42
5 51 42
11 45 42
5 24 42
44 4 42
15 30 42
10 3 3
51 25 42
51 7 42
11 42 42
39 27 27
8 40 42
32 13 39
9 47 42
43 37 42
17 6 42
33 21 42
12 13 42
31 35 42
