Case #1: Impossible
Case #2: 389
31 34 191065
13 26 162964
35 1 147328
1 2 174722
9 36 211306
2 3 114834
20 18 230663
32 5 136353
5 8 127498
21 22 66272
4 18 210935
32 22 175234
21 26 130867
21 25 109622
35 31 198656
26 19 137999
10 26 89587
34 21 89840
22 18 207563
32 20 76440
6 27 107848
33 21 155050
10 34 102815
23 31 147121
8 26 115608
14 15 180739
35 23 121121
9 26 198000
31 16 154021
34 9 222914
2 32 121528
17 22 208507
36 3 112036
1 20 175809
26 4 133108
29 7 182013
34 25 84096
34 32 19122
25 6 147598
18 30 199074
1 8 158012
37 10 185760
27 22 78466
7 24 117203
22 15 133686
9 7 218016
6 22 148469
6 26 168843
31 26 170197
36 7 112526
13 9 165291
32 3 31550
38 6 275939
11 7 164368
2 14 179528
37 7 112359
9 29 286610
5 9 209890
24 34 104285
7 2 115324
30 36 59301
15 38 132867
16 8 99432
28 21 129805
30 33 105517
9 27 205604
27 29 187130
11 4 151721
25 7 72158
33 17 269515
3 10 115243
24 23 91216
1 11 179345
8 25 94363
21 36 34156
27 23 83222
5 15 75343
24 28 125605
16 11 125691
21 14 197543
26 29 88610
38 12 293624
28 10 127075
17 27 134816
30 27 37339
17 8 148011
16 14 157631
9 15 150384
16 35 140396
20 2 151102
9 6 286779
10 23 92686
37 28 203720
34 3 12428
3 19 158920
6 15 146808
35 19 213573
13 29 224469
9 19 224930
13 14 165326
29 37 266287
11 8 127578
18 14 232265
26 2 93913
14 10 102455
16 23 19275
16 21 114691
34 19 146492
25 2 72668
3 29 181523
1 27 149962
12 30 138156
18 21 186101
14 35 174784
38 5 192373
18 15 179607
23 37 169331
31 7 203983
25 9 176755
8 3 103269
23 38 145032
33 29 163792
16 10 73411
6 28 167781
37 30 139748
35 3 79509
11 29 230477
35 37 128278
18 13 199311
16 28 53664
22 1 140358
21 7 102758
28 32 123401
19 31 44573
28 29 158450
23 17 201383
8 29 187605
28 33 144633
24 11 197632
9 12 276107
19 30 106185
5 35 168462
3 5 104803
20 10 176872
11 31 108088
1 14 53503
35 26 156572
10 24 1470
1 6 63359
7 23 57952
38 28 179421
19 28 136937
34 7 12918
7 6 76420
23 9 162549
3 28 91851
19 10 172859
38 37 216799
15 19 74546
32 8 109963
4 17 246133
15 1 153283
21 23 95416
33 18 223522
14 36 200766
33 23 110244
19 17 106005
12 32 146513
36 10 98311
24 26 88117
31 10 193238
25 16 5069
11 9 268965
33 32 84332
27 15 55220
15 37 197333
31 4 224576
11 26 141867
11 5 153757
24 29 81997
13 30 97930
29 25 109855
7 30 53225
28 35 155510
13 12 185014
29 16 104786
8 7 103759
21 6 120042
16 19 121823
5 25 33135
6 2 116348
22 37 240305
34 35 67081
37 2 185664
6 36 103420
25 18 208290
27 18 173907
31 14 255697
28 36 123313
9 38 17517
23 6 133392
38 25 159238
21 13 147463
5 36 136265
38 32 221309
26 34 105341
20 26 128091
17 9 317844
5 13 174854
8 30 50534
2 13 160029
15 26 63453
36 32 118730
8 21 25389
37 14 207144
30 11 154792
13 10 143942
1 29 236485
30 16 129472
38 4 240204
5 18 193026
20 19 195188
14 32 126825
27 12 158580
2 28 92851
31 8 110354
11 27 117453
15 12 164280
4 27 122338
24 22 183599
11 22 38987
10 4 154263
28 11 140805
27 20 173208
3 12 139819
24 2 129893
10 8 107078
28 26 69840
28 27 117611
20 8 172797
28 4 132046
22 23 145403
37 9 199282
1 28 159670
21 27 12194
11 32 195428
14 19 223614
4 30 84999
31 25 148952
34 18 183168
1 19 218808
20 13 114941
36 19 74548
34 4 52623
1 25 139487
17 28 235772
12 2 133820
26 1 160732
26 12 158479
5 4 144998
37 17 118562
25 4 111863
37 6 163306
34 11 176306
38 11 251448
30 28 144586
3 25 71668
33 19 181121
8 9 202539
28 13 161902
13 23 127513
11 15 134418
16 17 215453
10 18 132750
24 30 67794
13 25 141719
9 3 217526
5 28 81730
31 24 191768
19 37 141578
20 31 170175
19 27 68846
9 2 180844
3 26 92913
7 14 94785
8 28 114546
33 11 216660
19 18 105061
17 13 160380
7 33 52292
12 16 142303
7 22 153419
18 24 131280
2 10 128773
13 7 70541
18 2 149147
9 1 278668
4 9 251044
23 2 58462
15 34 97892
17 1 263626
37 5 216672
12 11 259073
22 3 152929
11 36 118811
16 5 28066
23 8 80157
38 8 185022
18 6 246670
25 22 159609
10 6 189998
20 17 108743
31 1 202194
30 34 40307
2 15 30460
6 13 121488
24 15 119218
6 3 75930
6 30 120734
34 13 57623
38 24 223262
2 35 169487
15 8 52155
37 3 111869
17 18 121920
19 23 102548
35 9 251751
3 11 163878
31 2 88659
17 36 156778
23 28 34389
4 22 112734
1 37 155195
33 25 120207
25 36 103130
34 29 183342
15 20 120642
13 35 86460
26 23 35451
27 2 24760
35 12 194472
10 35 148706
14 5 129565
34 37 99441
26 5 11890
29 14 182982
17 25 210384
26 16 16176
29 19 181427
20 35 28481
19 25 116754
37 12 226832
31 32 177324
37 13 41818
31 29 176794
3 18 170740
24 1 154488
23 36 88924
31 13 138823
28 12 192569
24 33 143478
13 1 113377
4 3 40195
15 28 62391
9 24 205745
15 3 85464
12 24 70362
10 29 80527
32 37 80319
1 32 99369
29 18 116306
17 11 169520
4 7 40685
1 18 238559
14 9 268378
23 20 92640
32 9 203792
34 12 127391
5 33 87072
2 33 137035
3 1 67819
3 7 490
20 25 106846
24 25 77010
36 12 164282
23 32 89012
33 1 95996
23 3 57462
37 4 127571
Case #3: Impossible
Case #4: 156
20 18 93720
19 13 233401
24 15 179371
27 21 76950
24 5 419791
25 6 65283
26 10 300696
15 8 390568
5 14 425206
26 18 225440
26 5 425722
15 7 246645
21 7 83721
25 10 83970
7 4 173418
11 7 86375
12 6 178413
9 17 146756
24 22 227100
13 1 282603
4 24 330429
9 3 298653
13 25 55178
23 25 221183
20 9 112512
22 12 88616
8 6 304411
15 2 321153
24 6 249351
12 3 210261
3 20 279494
11 17 111637
4 20 185252
17 14 225269
14 13 185265
25 3 323391
13 27 50787
20 6 189853
20 11 116410
14 3 377166
11 2 126242
23 3 266672
22 5 315296
23 14 249696
24 11 261587
4 21 243597
7 20 108431
19 23 231860
27 18 56914
5 21 310209
13 16 48384
9 8 227070
12 21 106466
26 9 244232
17 10 214435
12 20 69233
26 16 240359
14 11 214082
1 26 328819
1 11 318059
7 26 234682
7 14 141249
11 6 225590
25 11 160307
15 4 296513
8 18 208278
11 21 97796
20 8 114558
22 11 115646
18 15 266575
1 12 273625
16 1 234219
10 15 313948
5 4 313560
19 17 144051
18 11 71664
4 1 349963
6 1 205382
9 16 87941
24 26 13457
21 22 17850
19 16 214855
27 16 71833
7 24 221225
25 8 239128
25 7 112736
14 2 245970
14 20 236138
17 27 90791
19 4 229874
5 13 267279
18 4 149325
17 3 178863
18 6 153926
10 1 162772
6 21 243204
18 25 88643
27 20 101660
3 18 234748
5 11 305478
9 22 115065
9 10 245635
21 24 209250
14 15 374352
16 23 184140
7 2 118263
23 10 238862
10 2 227191
12 27 32427
13 9 106487
12 9 88392
25 22 165065
20 13 69392
22 27 59100
22 1 202413
2 19 254514
8 17 304098
16 5 218895
24 3 187375
17 6 257045
15 1 186728
19 11 222626
23 15 236892
20 1 309326
20 15 297634
15 5 308087
12 19 175449
23 1 146295
2 5 179236
1 8 421549
4 17 257438
10 24 287239
13 15 285156
18 9 73022
14 22 193578
15 11 289265
12 15 242088
12 24 214410
2 23 204941
15 19 66639
12 17 120307
22 15 180774
5 19 241448
18 21 130953
12 13 57952
8 24 238111
10 22 182744
23 4 281865
6 15 295261
22 2 148823
1 7 268284
26 17 208866
4 27 166647
23 27 115218
23 20 213967
9 14 190443
Case #5: 38
24 14 618350
31 30 186770
37 13 218953
19 33 495249
10 3 680026
38 6 957211
12 25 765256
30 33 747703
19 6 773885
21 8 978271
35 11 481580
36 3 745946
13 5 905530
17 24 349942
30 18 598221
1 27 516186
16 9 470675
27 6 860976
13 33 455698
24 23 134590
13 9 629985
9 15 778634
29 34 451175
19 10 626569
17 22 951506
11 1 950397
5 3 787951
30 32 546189
24 2 836570
1 36 914424
4 19 291826
16 8 764716
27 30 165880
35 14 480060
38 35 898803
12 14 506935
20 23 541282
35 26 980475
Case #6: Impossible
Case #7: 176
10 26 235168
10 22 330354
1 15 327276
19 22 112086
6 14 318825
32 25 277458
23 37 31628
21 12 152034
31 37 152087
21 30 133181
31 17 124539
8 2 581937
7 24 116563
36 10 173703
10 13 414751
15 5 240726
33 24 186312
37 29 315841
39 29 337138
37 11 128715
6 7 117761
33 37 204432
19 14 258393
26 25 287682
23 1 205453
2 34 346335
41 1 228026
31 29 366088
20 1 276299
39 15 174748
10 5 363999
1 22 200265
4 24 229408
22 21 172524
39 1 152528
42 34 219572
38 41 296546
38 6 413966
8 30 362570
21 13 138351
39 8 424604
37 3 79343
30 39 72217
41 29 249046
39 19 264457
38 8 628553
19 15 259922
32 7 119992
1 19 298667
4 5 40487
32 11 344625
17 14 278527
35 33 223517
32 34 189507
36 41 243332
40 10 266115
19 33 280945
28 2 426105
26 3 135428
32 42 359098
2 18 297156
38 39 404009
24 10 208767
1 40 266216
32 29 401468
35 36 254113
10 12 146074
27 7 37698
36 19 310329
6 40 123645
29 4 304496
34 9 378376
29 15 369112
41 3 7936
6 1 142571
3 10 284964
35 6 218198
20 22 175301
16 2 340045
41 7 32430
15 33 238117
24 25 141512
27 3 13204
9 2 586590
42 8 345031
23 17 121908
29 26 376538
16 10 299711
5 36 241143
8 20 311016
16 9 384666
11 5 59497
3 18 69686
19 37 214949
17 25 19321
30 36 159589
36 28 130099
22 37 102863
39 18 94210
21 36 254186
16 12 184555
21 26 154218
26 42 350040
3 25 152254
19 42 130808
24 11 248418
17 5 216582
4 18 119362
16 31 93476
2 21 288242
19 24 208117
32 19 301114
17 24 122191
12 42 203180
5 2 235667
4 23 141333
4 8 319467
9 12 450382
13 19 341049
36 6 203179
16 38 372010
9 14 555042
35 18 183088
41 37 71407
39 28 118059
25 8 405263
14 7 315910
35 4 266613
6 22 197373
11 6 223225
30 32 274749
37 9 380609
42 25 131621
10 32 374816
31 33 283190
33 5 135214
9 3 317138
30 35 136024
24 12 225313
42 14 127585
15 32 288360
24 20 47265
13 9 436699
21 15 146792
15 37 201544
19 40 150769
4 37 109705
11 4 19010
6 31 135432
30 38 418873
28 14 310828
5 13 268122
1 21 217172
8 35 300956
42 41 206676
21 29 259900
28 13 289021
24 9 355695
32 35 273760
30 13 249824
8 32 500306
25 1 202190
8 41 347884
39 31 125475
18 33 214089
3 19 221488
30 25 121879
34 28 92350
14 20 246612
20 26 258890
19 25 255099
39 3 102592
28 17 187042
39 13 234960
6 26 247977
31 10 305645
Case #8: 51
27 9 476752
31 28 686961
19 21 477309
8 26 439521
34 17 607617
19 37 165487
20 33 86469
19 20 432900
30 13 332225
38 21 693839
11 8 330940
22 21 416765
1 29 891060
29 11 462025
2 7 528728
9 31 873004
9 7 678559
24 32 519895
24 23 302000
37 26 448795
20 29 218367
5 1 349512
27 26 539709
30 14 642932
21 26 760617
10 34 751100
23 20 422466
30 17 765153
32 15 461282
35 20 176893
27 16 773161
32 29 835208
32 36 380357
29 9 414457
36 11 506130
8 16 499561
7 14 702281
22 16 292877
29 21 797602
34 28 246514
14 15 273033
5 19 6709
28 36 418924
26 18 334252
9 6 465673
16 12 661125
23 25 996038
8 13 299567
20 34 715176
18 10 574010
11 7 854453
Case #9: Impossible
Case #10: 61
8 7 28605
5 3 302714
14 5 163395
7 6 272819
16 2 198487
15 2 146019
15 12 214524
9 3 292312
8 6 244214
13 5 69539
12 10 338550
13 16 169279
1 13 233763
13 9 79941
12 2 251762
2 10 88487
3 10 267261
13 6 207213
9 8 271795
14 1 279841
1 8 236598
9 2 109149
12 6 219971
1 10 319068
5 2 98747
2 3 214077
14 7 394174
5 11 224044
13 12 280970
13 7 177480
1 15 254418
11 4 139787
14 4 297466
13 10 117695
11 12 386181
1 6 301610
10 11 312262
12 5 261796
7 4 288413
4 9 278847
8 16 301082
16 3 354676
3 13 243285
9 1 241252
8 12 279679
3 4 436785
4 16 82109
4 1 146593
1 11 6806
10 16 254584
1 3 419160
3 11 412354
4 12 246394
6 3 385840
14 3 139319
16 15 286090
14 16 215357
5 15 47272
2 7 148272
5 9 10402
12 9 251394
Case #11: 425
38 5 223603
13 18 109685
13 12 93554
28 29 140164
29 13 99108
16 29 99112
7 25 148161
35 23 147825
14 19 154477
12 36 176368
27 32 123944
13 15 137171
8 36 123017
1 35 128066
3 33 129334
39 2 158540
37 17 134154
10 35 52945
21 12 174956
11 22 90558
31 14 64523
6 4 44436
20 33 203761
21 17 108119
14 7 126916
26 18 160374
33 19 166437
22 7 149473
18 23 180967
7 20 203888
31 38 124181
2 24 188494
27 4 174586
16 2 200553
39 28 130580
34 13 4495
30 19 107431
22 23 148006
38 33 156597
20 18 193719
33 23 240395
15 21 65408
25 21 60198
13 25 133355
17 33 184286
38 7 130624
36 24 35778
36 16 68718
22 37 85886
29 25 72565
37 9 107874
30 8 76395
12 34 89059
34 35 143238
5 35 76989
11 34 36423
2 21 230416
21 16 116060
9 5 252922
5 23 190616
35 12 168900
14 32 104055
19 5 110312
21 35 89008
10 14 139901
39 7 167781
12 27 128148
29 10 96700
19 35 67521
3 30 32374
13 20 137138
17 35 53309
21 34 157313
11 30 77110
26 22 135112
19 34 138607
30 39 145328
10 5 95736
9 36 182508
1 33 170055
14 25 115766
24 21 132254
4 24 82000
7 23 113311
6 32 43064
6 34 88555
6 20 117321
15 16 98923
35 15 71871
7 13 73879
30 22 62973
1 11 146780
18 34 105190
5 33 203430
7 2 196154
2 8 108811
20 30 131266
6 10 78910
14 39 191063
10 20 113107
30 12 129746
34 27 130191
39 12 122284
29 31 94493
1 12 176343
33 37 120949
31 34 92087
39 25 80289
5 27 183834
11 39 69648
30 16 51890
10 37 90929
12 8 53351
13 4 71002
3 14 79420
7 32 136450
23 19 80304
32 33 153969
38 24 213429
19 7 180182
25 38 154824
27 2 144337
18 9 171969
3 12 127166
14 12 176792
1 34 142225
15 36 79339
19 4 63110
21 14 132339
1 15 84269
26 29 158626
7 5 196340
24 20 88472
2 31 167729
37 27 125327
5 15 114662
23 20 172896
11 6 63165
22 38 169677
3 39 116635
12 20 210049
14 30 82000
2 35 215454
33 27 235404
14 36 128622
34 17 128247
18 36 141025
23 36 120202
11 2 108096
14 6 68055
29 9 227898
15 30 111781
1 9 210767
24 35 77444
36 10 60413
37 19 144404
39 1 201513
19 38 193535
8 18 69482
15 38 218485
26 31 149810
19 17 86632
3 32 24635
10 16 79997
13 10 125745
36 31 64099
34 37 41095
3 29 79596
24 23 84424
30 38 134594
13 39 109136
12 4 109615
13 38 140312
34 8 35708
1 18 195584
16 1 73219
34 10 121250
27 26 185214
6 21 114973
2 18 176863
39 31 127851
25 5 71601
17 31 69849
35 33 171068
24 3 84980
18 21 164945
8 22 91273
16 14 98936
7 10 172296
24 32 60345
32 26 154881
19 20 127683
3 18 130398
17 36 60777
11 31 59633
37 20 173899
2 25 186644
10 22 91080
8 23 123403
17 23 140948
36 30 81576
33 10 189815
15 10 90618
10 38 130689
39 9 116776
36 37 128404
4 20 100434
17 18 152668
15 8 96968
10 31 75378
1 28 106550
22 17 85551
37 18 73439
2 4 194062
28 32 79310
14 9 198899
22 36 79801
7 24 186972
2 12 160732
9 22 164773
10 25 24135
38 20 230878
22 14 110019
35 4 67741
25 22 66945
26 15 187860
39 37 74320
26 23 144657
3 37 79202
25 18 104747
2 17 234565
25 31 51243
21 37 126992
37 35 120936
4 18 154733
12 5 211691
16 18 149914
8 20 168512
38 27 78807
33 9 219479
27 39 115964
10 28 91734
15 4 105414
23 2 104070
25 30 68720
27 1 185777
6 37 67837
14 4 105427
32 16 44151
36 3 49202
36 7 151194
34 33 152700
24 22 86592
22 4 4592
15 28 96851
24 29 121199
28 26 152539
11 23 124118
2 28 169028
38 23 129005
21 11 122320
38 36 178184
25 33 165680
23 6 173790
16 35 61250
5 30 116899
19 1 116755
28 7 175729
32 5 59890
33 21 201602
13 26 59518
16 6 37945
16 19 56619
4 32 50642
25 12 163028
32 11 99165
35 20 94360
20 11 169227
25 27 135655
21 23 146687
19 9 142610
21 19 98909
8 38 143468
31 1 87147
28 18 129699
20 29 138115
26 12 144243
27 7 51817
24 26 166092
32 2 198355
29 22 110195
1 20 33706
27 14 75099
22 1 62136
33 16 109818
15 32 54772
3 23 155361
37 14 128828
8 28 61647
17 6 73381
38 14 119590
36 29 85421
3 34 101504
9 38 191311
25 17 47921
8 5 158340
37 4 81294
11 27 120655
36 20 52694
28 11 60932
15 29 115626
29 32 60854
4 10 86488
20 21 149170
12 33 168913
34 39 104641
31 33 144231
